Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,586,952,255.00,160.00,221.00
93,0.39,524,980,254.54,229.00,220.00
112,1.18,524,976,253.63,229.00,220.00
132,2.24,522,980,252.41,231.00,220.00
153,3.55,524,976,250.88,229.00,220.00
172,4.87,522,972,249.36,231.00,220.00
193,6.44,520,968,247.53,233.00,221.00
213,8.15,529,972,245.55,223.00,220.00
233,10.26,521,976,243.11,232.00,220.00
253,12.10,519,960,240.98,234.00,221.00
273,14.07,531,964,238.69,221.00,221.00
293,16.31,523,984,236.10,230.00,220.00
313,18.15,522,972,233.96,231.00,220.00
333,20.12,520,972,231.68,233.00,220.00
353,22.23,525,980,229.24,228.00,220.00
373,24.33,528,988,226.80,224.00,220.00
393,26.17,547,1012,224.66,203.00,219.00
413,28.41,534,1040,222.07,218.00,217.00
433,30.25,541,1056,219.94,210.00,217.00
454,32.35,539,1072,217.50,212.00,216.00
473,34.33,541,1088,215.21,210.00,215.00
493,36.43,554,1104,212.77,196.00,214.00
513,38.54,549,1128,210.33,201.00,213.00
534,40.77,553,1140,207.74,197.00,213.00
555,43.01,557,1172,205.15,192.00,211.00
574,44.85,556,1180,203.02,193.00,211.00
593,47.08,559,1196,200.43,190.00,210.00
614,49.06,575,1224,198.14,172.00,209.00
633,51.03,576,1264,195.85,171.00,207.00
653,53.13,584,1308,193.41,162.00,205.00
674,55.37,575,1356,190.82,172.00,203.00
694,57.47,581,1396,188.38,166.00,201.00
714,59.45,588,1432,186.10,158.00,199.00
734,61.42,601,1508,183.81,144.00,196.00
754,63.52,595,1560,181.37,150.00,194.00
774,65.63,598,1608,178.93,147.00,191.00
794,67.60,602,1664,176.64,142.00,189.00
814,69.57,617,1680,174.36,126.00,188.00
834,71.68,609,1728,171.92,135.00,186.00
854,73.65,620,1764,169.63,122.00,184.00
874,75.76,614,1820,167.19,129.00,182.00
895,77.73,623,1848,164.91,119.00,180.00
915,79.83,631,1892,162.47,110.00,178.00
934,81.81,619,1932,160.18,124.00,177.00
