Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
1757,165.58,682,5024,63.07,54.00,36.00
1777,167.69,685,5092,60.63,50.00,33.00
1797,169.66,687,5136,58.35,48.00,31.00
1817,171.90,686,5160,55.76,49.00,30.00
1839,173.74,685,5324,53.62,50.00,22.00
1858,175.84,688,5364,51.18,47.00,20.00
1878,177.95,687,5212,48.74,48.00,27.00
1898,180.05,686,5560,46.31,49.00,11.00
1919,182.29,687,5772,43.71,48.00,2.00
1938,184.13,697,5656,41.58,37.00,7.00
1958,186.23,686,5672,39.14,49.00,6.00
1978,188.20,698,5740,36.85,36.00,3.00
1998,190.44,688,5704,34.26,47.00,5.00
2018,192.41,688,5680,31.98,47.00,6.00
2038,194.52,687,5832,29.54,48.00,0.00
2058,196.49,691,5740,27.25,44.00,3.00
2078,198.73,693,5848,24.66,42.00,0.00
2098,200.57,697,5884,22.52,37.00,0.00
2118,202.67,688,6056,20.09,47.00,0.00
2138,204.64,694,5860,17.80,40.00,0.00
2158,206.62,693,5656,15.51,42.00,7.00
2179,208.72,689,5528,13.07,46.00,13.00
2198,210.56,703,5880,10.94,30.00,0.00
2219,212.40,692,5908,8.80,43.00,0.00
2238,214.38,696,5648,6.52,38.00,7.00
2258,216.35,684,5520,4.23,51.00,13.00
2278,218.19,694,5404,2.10,40.00,19.00
2297,220.29,711,5008,0.00,22.00,37.00
2317,222.27,683,5156,0.00,53.00,30.00
2338,224.37,696,5580,0.00,38.00,11.00
2358,226.34,702,5748,0.00,32.00,3.00
2378,228.45,701,5512,0.00,33.00,14.00
2398,230.42,687,5584,0.00,48.00,10.00
2418,232.39,686,5752,0.00,49.00,3.00
2438,234.24,687,5672,0.00,48.00,6.00
2458,236.47,702,5580,0.00,32.00,11.00
