Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,591,972,255.00,155.00,220.00
92,0.39,534,984,254.54,218.00,220.00
112,1.32,527,980,253.48,226.00,220.00
132,2.37,524,980,252.26,229.00,220.00
152,3.68,523,980,250.73,230.00,220.00
173,5.26,522,972,248.90,231.00,220.00
192,6.84,521,960,247.07,232.00,221.00
213,8.81,523,960,244.79,230.00,221.00
233,10.78,522,980,242.50,231.00,220.00
253,12.63,540,964,240.37,211.00,221.00
273,14.47,538,964,238.23,213.00,221.00
294,16.57,530,972,235.79,222.00,220.00
313,18.54,522,972,233.51,231.00,220.00
333,20.39,522,984,231.37,231.00,220.00
353,22.36,523,968,229.08,230.00,221.00
373,24.46,529,992,226.65,223.00,219.00
393,26.44,533,1016,224.36,219.00,218.00
414,28.54,535,1036,221.92,217.00,217.00
433,30.38,537,1056,219.79,214.00,217.00
454,32.49,543,1100,217.35,208.00,215.00
474,34.46,551,1096,215.06,199.00,215.00
494,36.56,550,1104,212.62,200.00,214.00
514,38.67,546,1116,210.18,204.00,214.00
534,40.77,554,1140,207.74,196.00,213.00
554,42.88,554,1148,205.30,196.00,212.00
574,44.85,559,1184,203.02,190.00,211.00
594,47.08,556,1204,200.43,193.00,210.00
614,49.06,574,1232,198.14,173.00,209.00
634,51.29,570,1284,195.55,178.00,206.00
654,53.27,584,1332,193.26,162.00,204.00
674,55.37,580,1380,190.82,167.00,202.00
694,57.21,591,1400,188.69,155.00,201.00
714,59.32,587,1452,186.25,159.00,198.00
734,61.42,605,1488,183.81,139.00,197.00
754,63.39,593,1520,181.52,152.00,195.00
774,65.37,609,1584,179.24,135.00,192.00
794,67.47,610,1632,176.80,134.00,190.00
814,69.44,616,1656,174.51,127.00,189.00
834,71.42,616,1720,172.22,127.00,186.00
854,73.39,611,1756,169.94,132.00,185.00
874,75.49,610,1804,167.50,134.00,182.00
895,77.60,615,1820,165.06,128.00,182.00
914,79.57,617,1848,162.77,126.00,180.00
934,81.94,623,1888,160.03,119.00,179.00
954,83.78,618,1936,157.89,125.00,176.00
974,86.01,620,1992,155.30,122.00,174.00
994,87.99,625,2056,153.02,117.00,171.00
1015,90.09,636,2104,150.58,105.00,169.00
1035,92.20,633,2140,148.14,108.00,167.00
1054,94.30,631,2184,145.70,110.00,165.00
1074,96.27,634,2240,143.41,107.00,163.00
1095,98.38,648,2300,140.97,91.00,160.00
1114,100.35,641,2344,138.69,99.00,158.00
1135,102.45,640,2388,136.25,100.00,156.00
1155,104.43,641,2444,133.96,99.00,153.00
1175,106.53,653,2496,131.52,86.00,151.00
1196,108.64,648,2528,129.08,91.00,149.00
1215,110.48,656,2588,126.95,83.00,147.00
1236,112.45,655,2612,124.66,84.00,146.00
1255,114.55,647,2660,122.22,93.00,143.00
1275,116.66,646,2708,119.78,94.00,141.00
1295,118.50,664,2800,117.65,74.00,137.00
1315,120.60,664,2928,115.21,74.00,131.00
1335,122.58,655,3040,112.92,84.00,126.00
1356,124.68,669,3144,110.48,68.00,121.00
1375,126.65,665,3156,108.20,73.00,121.00
1396,128.89,656,3052,105.61,83.00,126.00
1416,130.73,671,3092,103.47,66.00,124.00
1436,132.84,661,3340,101.03,77.00,113.00
1456,134.94,667,3388,98.59,70.00,110.00
1476,137.04,674,3404,96.15,63.00,110.00
1496,139.15,663,3452,93.71,75.00,107.00
1516,141.25,668,3564,91.28,69.00,102.00
1537,143.49,670,3716,88.68,67.00,95.00
1556,145.33,685,3784,86.55,50.00,92.00
1576,147.43,674,3876,84.11,63.00,88.00
1596,149.28,674,4028,81.98,63.00,81.00
1616,151.38,687,4164,79.54,48.00,75.00
1636,153.48,685,4148,77.10,50.00,76.00
1656,155.59,678,4308,74.66,58.00,68.00
1677,157.69,691,4460,72.22,44.00,62.00
1697,159.53,689,4536,70.09,46.00,58.00
1717,161.51,697,4684,67.80,37.00,51.00
1737,163.61,692,4908,65.36,43.00,41.00
