Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,589,980,255.00,157.00,220.00
92,0.26,523,980,254.70,230.00,220.00
112,1.05,531,980,253.78,221.00,220.00
132,1.97,525,980,252.71,228.00,220.00
153,3.42,523,988,251.04,230.00,220.00
172,4.73,522,976,249.51,231.00,220.00
192,6.58,520,980,247.38,233.00,220.00
213,8.42,521,972,245.24,232.00,220.00
233,10.39,521,964,242.96,232.00,221.00
253,12.36,525,976,240.67,228.00,220.00
273,14.34,518,952,238.38,236.00,221.00
293,16.44,523,960,235.94,230.00,221.00
313,18.41,524,968,233.66,229.00,221.00
333,20.52,530,960,231.22,222.00,221.00
353,22.49,526,980,228.93,227.00,220.00
374,24.46,528,980,226.65,224.00,220.00
393,26.44,545,1004,224.36,206.00,219.00
413,28.54,534,1032,221.92,218.00,218.00
433,30.51,546,1048,219.63,204.00,217.00
453,32.62,550,1064,217.19,200.00,216.00
474,34.72,545,1096,214.75,206.00,215.00
494,36.83,555,1104,212.32,195.00,214.00
514,38.80,548,1124,210.03,202.00,213.00
533,41.03,552,1148,207.44,198.00,212.00
554,43.01,554,1156,205.15,196.00,212.00
573,45.11,559,1176,202.71,190.00,211.00
593,47.22,560,1200,200.27,189.00,210.00
614,49.19,564,1232,197.99,185.00,209.00
634,51.29,569,1264,195.55,179.00,207.00
654,53.40,572,1312,193.11,176.00,205.00
673,55.50,574,1348,190.67,173.00,203.00
694,57.47,594,1400,188.38,151.00,201.00
714,59.71,583,1440,185.79,163.00,199.00
734,61.68,599,1468,183.50,146.00,198.00
754,63.79,593,1524,181.06,152.00,195.00
774,65.89,595,1552,178.63,150.00,194.00
794,68.00,598,1600,176.19,147.00,192.00
814,70.10,602,1652,173.75,142.00,189.00
834,72.20,602,1688,171.31,142.00,188.00
854,74.31,619,1728,168.87,124.00,186.00
874,76.41,609,1764,166.43,135.00,184.00
895,78.65,610,1796,163.84,134.00,183.00
914,80.75,617,1856,161.40,126.00,180.00
934,82.73,639,1936,159.11,101.00,176.00
955,84.83,623,1992,156.67,119.00,174.00
974,86.93,626,2040,154.23,116.00,172.00
994,88.91,626,2100,151.95,116.00,169.00
1014,90.88,651,2156,149.66,88.00,166.00
1035,92.85,632,2200,147.37,109.00,164.00
1055,94.96,630,2252,144.94,111.00,162.00
1075,97.06,635,2300,142.50,106.00,160.00
1095,99.17,639,2352,140.06,101.00,158.00
1115,101.14,654,2412,137.77,85.00,155.00
1135,103.24,652,2468,135.33,87.00,152.00
1155,105.22,642,2504,133.04,98.00,151.00
1175,107.32,643,2512,130.61,97.00,150.00
1196,109.43,646,2556,128.17,94.00,148.00
1215,111.40,649,2600,125.88,90.00,146.00
1236,113.63,656,2648,123.29,83.00,144.00
1255,115.61,649,2692,121.00,90.00,142.00
