Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
1275,117.84,650,2764,118.41,89.00,139.00
1295,119.68,664,2832,116.28,74.00,136.00
1315,121.79,669,2944,113.84,68.00,131.00
1336,123.89,659,3052,111.40,79.00,126.00
1355,126.00,657,3120,108.96,81.00,123.00
1375,127.97,675,3104,106.67,61.00,123.00
1395,130.07,656,2952,104.23,83.00,130.00
1416,132.18,661,3232,101.79,77.00,117.00
1436,134.28,663,3336,99.35,75.00,113.00
1456,136.26,682,3364,97.07,54.00,111.00
1476,138.36,665,3444,94.63,73.00,108.00
1496,140.33,666,3424,92.34,71.00,109.00
1516,142.44,665,3600,89.90,73.00,101.00
1537,144.54,676,3716,87.46,60.00,95.00
1556,146.51,669,3792,85.18,68.00,92.00
1576,148.49,680,3892,82.89,56.00,87.00
1596,150.59,672,4112,80.45,65.00,77.00
1616,152.69,673,4096,78.01,64.00,78.00
1637,154.67,672,4236,75.73,65.00,72.00
1657,156.77,675,4260,73.29,61.00,71.00
1677,158.88,679,4424,70.85,57.00,63.00
1697,160.85,688,4624,68.56,47.00,54.00
1717,162.82,679,4768,66.27,57.00,47.00
1737,165.06,694,4960,63.68,40.00,39.00
1757,167.03,693,5056,61.40,42.00,34.00
1777,169.27,680,5116,58.81,56.00,32.00
1798,171.24,687,5204,56.52,48.00,28.00
1818,173.34,686,5328,54.08,49.00,22.00
1839,175.45,683,5460,51.64,53.00,16.00
1858,177.29,702,5636,49.51,32.00,8.00
1879,179.39,689,5496,47.07,46.00,14.00
1898,181.37,687,5724,44.78,48.00,4.00
1919,183.47,689,5592,42.34,46.00,10.00
1938,185.31,691,5800,40.21,44.00,0.00
1958,187.42,687,5792,37.77,48.00,1.00
1978,189.52,691,5604,35.33,44.00,9.00
1998,191.36,693,5916,33.20,42.00,0.00
2018,193.33,686,5808,30.91,49.00,0.00
2038,195.31,701,5832,28.62,33.00,0.00
2058,197.28,698,5804,26.34,36.00,0.00
2078,199.25,709,5696,24.05,24.00,5.00
2098,201.36,689,6040,21.61,46.00,0.00
2119,203.33,693,6224,19.32,42.00,0.00
2138,205.43,700,6016,16.88,34.00,0.00
2158,207.54,686,5724,14.44,49.00,4.00
2179,209.64,686,5848,12.01,49.00,0.00
2198,211.62,695,6044,9.72,39.00,0.00
2219,213.72,694,5864,7.28,40.00,0.00
2238,215.69,699,5712,4.99,35.00,5.00
2258,217.66,685,5472,2.71,50.00,15.00
2278,219.77,687,5228,0.27,48.00,27.00
2297,221.87,682,5144,0.00,54.00,30.00
2318,223.71,697,5528,0.00,37.00,13.00
2338,225.82,693,5672,0.00,42.00,6.00
2358,227.92,685,5648,0.00,50.00,7.00
2378,230.03,690,5616,0.00,45.00,9.00
2398,232.00,690,5728,0.00,45.00,4.00
2418,234.24,690,5932,0.00,45.00,0.00
2438,236.21,699,5960,0.00,35.00,0.00
2458,238.31,690,6040,0.00,45.00,0.00
