Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,586,952,255.00,160.00,221.00
93,0.13,529,972,254.85,223.00,220.00
112,0.79,533,976,254.09,219.00,220.00
132,1.84,530,984,252.87,222.00,220.00
152,3.29,524,988,251.19,229.00,220.00
172,4.60,533,980,249.66,219.00,220.00
192,6.44,519,968,247.53,234.00,221.00
213,8.29,521,980,245.40,232.00,220.00
233,10.39,520,968,242.96,233.00,221.00
253,12.36,527,968,240.67,226.00,221.00
274,14.34,522,952,238.38,231.00,221.00
293,16.18,521,972,236.25,232.00,220.00
313,18.28,522,988,233.81,231.00,220.00
334,20.25,524,988,231.52,229.00,220.00
354,22.36,527,1004,229.08,226.00,219.00
373,24.20,546,1004,226.95,204.00,219.00
393,26.17,530,1024,224.66,222.00,218.00
413,28.15,542,1044,222.38,209.00,217.00
433,29.85,539,1064,220.40,212.00,216.00
454,32.09,548,1088,217.80,202.00,215.00
473,33.93,545,1120,215.67,206.00,214.00
494,36.04,557,1128,213.23,192.00,213.00
514,38.01,556,1128,210.94,193.00,213.00
533,40.11,552,1156,208.50,198.00,212.00
554,42.09,552,1156,206.22,198.00,212.00
574,44.19,556,1176,203.78,193.00,211.00
594,46.29,567,1204,201.34,181.00,210.00
613,48.27,570,1220,199.05,178.00,209.00
634,50.37,571,1248,196.61,177.00,208.00
654,52.48,570,1292,194.18,178.00,206.00
674,54.58,582,1340,191.74,165.00,204.00
694,56.55,581,1396,189.45,166.00,201.00
714,58.66,594,1448,187.01,151.00,199.00
734,60.63,603,1488,184.72,141.00,197.00
754,62.73,605,1528,182.28,139.00,195.00
774,64.71,611,1556,180.00,132.00,194.00
794,66.81,598,1628,177.56,147.00,190.00
814,68.92,602,1652,175.12,142.00,189.00
834,71.02,603,1696,172.68,141.00,187.00
854,72.99,608,1736,170.39,136.00,186.00
874,74.97,609,1776,168.11,135.00,184.00
895,77.07,613,1820,165.67,130.00,182.00
914,79.17,614,1856,163.23,129.00,180.00
934,81.28,619,1888,160.79,124.00,179.00
954,83.38,622,1948,158.35,120.00,176.00
974,85.49,624,2008,155.91,118.00,173.00
995,87.59,631,2048,153.47,110.00,171.00
1015,89.70,636,2100,151.03,105.00,169.00
1035,91.67,637,2164,148.75,104.00,166.00
1055,93.77,643,2184,146.31,97.00,165.00
1075,95.75,642,2260,144.02,98.00,162.00
1094,97.72,647,2308,141.73,93.00,160.00
1115,99.82,639,2328,139.30,101.00,159.00
1135,101.93,640,2388,136.86,100.00,156.00
1155,103.90,642,2428,134.57,98.00,154.00
