Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
1034,92.06,631,2192,148.29,110.00,165.00
1055,94.17,645,2236,145.85,95.00,163.00
1074,96.14,636,2284,143.56,105.00,161.00
1095,98.38,645,2344,140.97,95.00,158.00
1115,100.35,643,2372,138.69,97.00,157.00
1135,102.45,652,2412,136.25,87.00,155.00
1155,104.56,640,2456,133.81,100.00,153.00
1175,106.66,650,2496,131.37,89.00,151.00
1196,108.90,645,2512,128.78,95.00,150.00
1215,110.87,657,2548,126.49,81.00,149.00
1236,112.98,648,2624,124.05,91.00,145.00
1255,114.95,664,2676,121.76,74.00,143.00
1275,117.05,658,2708,119.32,80.00,141.00
1295,119.03,660,2800,117.04,78.00,137.00
1315,121.13,656,2884,114.60,83.00,133.00
1335,123.23,667,2968,112.16,70.00,129.00
1356,125.34,663,3068,109.72,75.00,125.00
1375,127.31,657,3060,107.43,81.00,125.00
1395,129.42,665,2920,104.99,73.00,132.00
1415,131.52,659,3120,102.56,79.00,123.00
1436,133.62,659,3324,100.12,79.00,113.00
1456,135.60,663,3364,97.83,75.00,111.00
1476,137.70,665,3392,95.39,73.00,110.00
1496,139.41,663,3456,93.41,75.00,107.00
1516,141.52,668,3532,90.97,69.00,104.00
1537,143.62,669,3716,88.53,68.00,95.00
1556,145.72,668,3764,86.09,69.00,93.00
1576,147.70,671,3812,83.81,66.00,91.00
1596,149.80,672,3976,81.37,65.00,84.00
1617,151.77,681,4172,79.08,55.00,75.00
1637,153.75,684,4196,76.79,51.00,74.00
1657,155.85,685,4348,74.35,50.00,67.00
1677,157.69,688,4368,72.22,47.00,66.00
1697,159.80,683,4492,69.78,53.00,60.00
1717,161.90,682,4712,67.34,54.00,50.00
1737,164.01,682,4868,64.90,54.00,43.00
1757,165.85,694,4932,62.77,40.00,40.00
1777,167.82,682,5108,60.48,54.00,32.00
1797,169.79,688,5208,58.20,47.00,27.00
1818,172.03,687,5360,55.60,48.00,21.00
1839,174.00,686,5580,53.32,49.00,11.00
1858,175.97,691,5580,51.03,44.00,11.00
1879,178.08,687,5616,48.59,48.00,9.00
1898,180.18,686,5680,46.15,49.00,6.00
1919,182.29,688,5772,43.71,47.00,2.00
1938,184.13,690,5676,41.58,45.00,6.00
1958,186.23,703,5876,39.14,30.00,0.00
1978,188.34,688,5664,36.70,47.00,7.00
1998,190.31,686,5744,34.41,49.00,3.00
2018,192.28,693,5896,32.13,42.00,0.00
2038,194.25,694,5756,29.84,40.00,3.00
2058,196.23,703,5764,27.55,30.00,2.00
2078,198.20,691,5784,25.27,44.00,1.00
2098,200.17,700,5672,22.98,34.00,6.00
2118,202.28,688,6148,20.54,47.00,0.00
2138,204.38,694,6084,18.10,40.00,0.00
2158,206.62,687,5848,15.51,48.00,0.00
2179,208.72,699,5624,13.07,35.00,9.00
2198,210.69,700,6032,10.79,34.00,0.00
2220,212.80,704,5992,8.35,29.00,0.00
2238,214.77,691,5532,6.06,44.00,13.00
2258,217.01,686,5560,3.47,49.00,11.00
2278,218.85,684,5240,1.33,51.00,26.00
2297,221.08,683,5036,0.00,53.00,35.00
2317,223.06,696,5228,0.00,38.00,27.00
2338,225.16,691,5580,0.00,44.00,11.00
2358,227.13,698,5724,0.00,36.00,4.00
2378,228.98,690,5724,0.00,45.00,4.00
2398,230.95,688,5664,0.00,47.00,7.00
2418,233.05,687,5704,0.00,48.00,5.00
2438,234.89,690,5896,0.00,45.00,0.00
2458,236.87,688,6016,0.00,47.00,0.00
