Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,598,988,255.00,147.00,220.00
93,0.26,527,988,254.70,226.00,220.00
112,1.32,528,996,253.48,224.00,219.00
132,2.37,527,996,252.26,226.00,219.00
152,3.68,535,988,250.73,217.00,220.00
172,5.13,534,984,249.05,218.00,220.00
192,6.97,528,964,246.92,224.00,221.00
213,8.81,521,960,244.79,232.00,221.00
233,10.78,520,964,242.50,233.00,221.00
253,12.76,529,956,240.21,223.00,221.00
273,14.60,523,952,238.08,230.00,221.00
293,16.57,530,956,235.79,222.00,221.00
313,18.54,530,956,233.51,222.00,221.00
334,20.78,519,960,230.91,234.00,221.00
353,22.75,524,968,228.63,229.00,221.00
373,24.86,527,980,226.19,226.00,220.00
394,26.83,541,1004,223.90,210.00,219.00
413,28.93,544,1028,221.46,207.00,218.00
433,30.91,543,1052,219.18,208.00,217.00
453,33.01,541,1064,216.74,210.00,216.00
473,34.98,543,1076,214.45,208.00,216.00
494,37.09,545,1100,212.01,206.00,215.00
514,39.06,546,1116,209.72,204.00,214.00
534,41.17,549,1140,207.29,201.00,213.00
555,43.27,554,1164,204.85,196.00,212.00
574,44.98,564,1180,202.86,185.00,211.00
594,47.08,558,1200,200.43,191.00,210.00
614,49.06,562,1232,198.14,187.00,209.00
633,51.16,565,1260,195.70,183.00,207.00
654,53.27,571,1296,193.26,177.00,206.00
674,55.37,578,1356,190.82,169.00,203.00
694,57.21,579,1392,188.69,168.00,201.00
714,59.32,594,1428,186.25,151.00,200.00
734,61.29,588,1452,183.96,158.00,198.00
754,63.52,593,1508,181.37,152.00,196.00
774,65.50,596,1568,179.08,149.00,193.00
794,67.73,600,1616,176.49,145.00,191.00
814,69.57,618,1640,174.36,125.00,190.00
834,71.68,605,1692,171.92,139.00,188.00
854,73.65,607,1744,169.63,137.00,185.00
874,75.62,624,1772,167.34,118.00,184.00
895,77.73,627,1828,164.91,115.00,181.00
914,79.83,618,1872,162.47,125.00,179.00
934,81.94,617,1912,160.03,126.00,178.00
955,83.78,634,1956,157.89,107.00,176.00
974,85.88,627,2016,155.45,115.00,173.00
995,87.99,626,2072,153.02,116.00,170.00
1014,89.96,639,2140,150.73,101.00,167.00
