Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,591,988,255.00,155.00,220.00
92,0.39,527,976,254.54,226.00,220.00
112,1.18,527,988,253.63,226.00,220.00
132,2.24,524,980,252.41,229.00,220.00
152,3.68,530,980,250.73,222.00,220.00
172,5.26,532,972,248.90,220.00,220.00
193,7.10,531,964,246.77,221.00,221.00
213,9.07,533,952,244.48,219.00,221.00
234,11.18,520,952,242.04,233.00,221.00
253,13.15,522,952,239.76,231.00,221.00
273,15.12,525,952,237.47,228.00,221.00
293,17.23,522,952,235.03,231.00,221.00
314,19.07,522,952,232.90,231.00,221.00
333,21.31,527,952,230.30,226.00,221.00
354,23.41,534,960,227.87,218.00,221.00
373,25.51,532,976,225.43,220.00,220.00
393,27.49,530,1004,223.14,222.00,219.00
413,29.46,533,1024,220.85,219.00,218.00
433,31.56,537,1052,218.41,214.00,217.00
454,33.67,538,1064,215.97,213.00,216.00
473,35.64,541,1088,213.69,210.00,215.00
494,37.88,544,1108,211.10,207.00,214.00
514,39.72,548,1124,208.96,202.00,213.00
534,41.95,558,1132,206.37,191.00,213.00
554,44.06,553,1156,203.93,197.00,212.00
574,46.16,555,1180,201.49,195.00,211.00
594,48.14,566,1208,199.21,182.00,210.00
613,50.11,576,1236,196.92,171.00,208.00
634,52.21,581,1284,194.48,166.00,206.00
654,54.19,574,1320,192.19,173.00,204.00
673,56.29,585,1364,189.75,161.00,202.00
694,58.26,581,1396,187.47,166.00,201.00
714,60.50,588,1448,184.88,158.00,199.00
734,62.34,596,1500,182.74,149.00,196.00
754,64.58,595,1528,180.15,150.00,195.00
774,66.55,618,1576,177.86,125.00,193.00
794,68.78,601,1620,175.27,144.00,191.00
814,70.89,608,1668,172.83,136.00,189.00
834,72.73,611,1720,170.70,132.00,186.00
854,74.83,626,1768,168.26,116.00,184.00
874,76.81,612,1796,165.97,131.00,183.00
895,79.04,614,1836,163.38,129.00,181.00
914,81.02,616,1872,161.09,127.00,179.00
935,83.25,625,1924,158.50,117.00,177.00
954,85.22,620,2012,156.22,122.00,173.00
974,87.20,628,2056,153.93,114.00,171.00
995,89.17,629,2100,151.64,112.00,169.00
1015,91.14,633,2156,149.36,108.00,166.00
1035,93.12,642,2200,147.07,98.00,164.00
1055,95.22,645,2228,144.63,95.00,163.00
1075,97.32,642,2292,142.19,98.00,160.00
1095,99.43,634,2352,139.75,107.00,158.00
1115,101.40,640,2384,137.47,100.00,156.00
1135,103.51,640,2404,135.03,100.00,155.00
1155,105.48,643,2444,132.74,97.00,153.00
1175,107.72,643,2472,130.15,97.00,152.00
1196,109.82,649,2528,127.71,90.00,149.00
1215,111.79,650,2580,125.42,89.00,147.00
1236,114.03,661,2612,122.83,77.00,146.00
1255,116.00,653,2640,120.54,86.00,144.00
1275,118.11,647,2724,118.11,93.00,141.00
1295,120.21,666,2832,115.67,71.00,136.00
1315,122.31,666,2892,113.23,71.00,133.00
1336,124.42,661,3028,110.79,77.00,127.00
1355,126.39,673,3096,108.50,64.00,124.00
1375,128.36,655,3068,106.21,84.00,125.00
1395,130.34,668,2932,103.93,69.00,131.00
1416,132.31,671,3228,101.64,66.00,118.00
1435,134.28,661,3340,99.35,77.00,113.00
1456,136.26,666,3380,97.07,71.00,111.00
1476,138.36,683,3404,94.63,53.00,110.00
1496,140.33,665,3448,92.34,73.00,108.00
1516,142.44,668,3596,89.90,69.00,101.00
1537,144.41,677,3724,87.62,59.00,95.00
1556,146.38,678,3768,85.33,58.00,93.00
1576,148.49,668,3868,82.89,69.00,88.00
1596,150.46,683,3980,80.60,53.00,83.00
1616,152.56,689,4128,78.17,46.00,77.00
1637,154.67,675,4220,75.73,61.00,72.00
1656,156.77,677,4284,73.29,59.00,70.00
1677,158.74,679,4368,71.00,57.00,66.00
1697,160.85,682,4520,68.56,54.00,59.00
1717,162.82,680,4704,66.27,56.00,50.00
1737,164.93,682,4888,63.84,54.00,42.00
1757,166.90,697,4988,61.55,37.00,37.00
1778,169.00,682,5236,59.11,54.00,26.00
1798,170.98,684,5216,56.82,51.00,27.00
1818,173.08,686,5452,54.38,49.00,16.00
1839,175.18,697,5496,51.95,37.00,14.00
1858,177.29,690,5656,49.51,45.00,7.00
1879,179.26,690,5580,47.22,45.00,11.00
1898,181.23,696,5760,44.93,38.00,2.00
1919,183.34,700,5676,42.49,34.00,6.00
1938,185.44,692,5816,40.05,43.00,0.00
1958,187.55,691,5712,37.62,44.00,5.00
1978,189.52,688,5628,35.33,47.00,8.00
1998,191.76,691,5776,32.74,44.00,2.00
2018,193.73,689,5700,30.45,46.00,5.00
2038,195.83,688,5628,28.01,47.00,8.00
2058,197.81,690,5720,25.73,45.00,4.00
2078,199.91,698,5616,23.29,36.00,9.00
2098,202.01,693,5876,20.85,42.00,0.00
2118,204.12,697,6132,18.41,37.00,0.00
2138,206.22,696,5968,15.97,38.00,0.00
2158,208.33,686,5724,13.53,49.00,4.00
2179,210.43,690,5824,11.09,45.00,0.00
2198,212.54,687,6028,8.65,48.00,0.00
2219,214.51,698,5704,6.37,36.00,5.00
2238,216.48,695,5432,4.08,39.00,17.00
2258,218.59,700,5312,1.64,34.00,23.00
2278,220.69,696,5084,0.00,38.00,33.00
2297,222.66,694,5096,0.00,40.00,33.00
2318,224.64,688,5520,0.00,47.00,13.00
2338,226.61,698,5684,0.00,36.00,6.00
2358,228.71,706,5704,0.00,27.00,5.00
2378,230.82,702,5688,0.00,32.00,6.00
2398,232.79,687,5684,0.00,48.00,6.00
2418,234.89,686,5808,0.00,49.00,0.00
2438,236.87,704,5812,0.00,29.00,0.00
2459,238.71,702,6084,0.00,32.00,0.00
