Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,587,960,255.00,159.00,221.00
92,0.39,525,980,254.54,228.00,220.00
112,1.32,522,980,253.48,231.00,220.00
133,2.24,528,980,252.41,224.00,220.00
153,3.55,526,988,250.88,227.00,220.00
173,4.87,524,980,249.36,229.00,220.00
192,6.58,525,964,247.38,228.00,221.00
213,8.42,521,972,245.24,232.00,220.00
233,10.39,528,964,242.96,224.00,221.00
253,12.36,531,968,240.67,221.00,221.00
274,14.34,519,960,238.38,234.00,221.00
293,16.44,529,960,235.94,223.00,221.00
313,18.41,527,964,233.66,226.00,221.00
333,20.52,520,972,231.22,233.00,220.00
353,22.62,521,968,228.78,232.00,221.00
373,24.59,523,984,226.49,230.00,220.00
393,26.70,534,1000,224.05,218.00,219.00
413,28.93,529,1020,221.46,223.00,218.00
433,30.78,540,1044,219.33,211.00,217.00
454,33.14,536,1056,216.58,216.00,217.00
473,34.85,550,1072,214.60,200.00,216.00
493,37.09,554,1088,212.01,196.00,215.00
514,38.93,547,1108,209.88,203.00,214.00
533,41.17,548,1124,207.29,202.00,213.00
555,43.27,556,1144,204.85,193.00,213.00
574,45.11,566,1168,202.71,182.00,211.00
594,47.35,559,1216,200.12,190.00,209.00
614,49.19,564,1224,197.99,185.00,209.00
633,51.29,573,1256,195.55,175.00,207.00
653,53.27,570,1312,193.26,178.00,205.00
674,55.50,582,1348,190.67,165.00,203.00
694,57.34,580,1388,188.54,167.00,201.00
714,59.45,593,1428,186.10,152.00,200.00
734,61.55,593,1464,183.66,152.00,198.00
754,63.52,603,1516,181.37,141.00,196.00
774,65.63,593,1568,178.93,152.00,193.00
794,67.73,599,1612,176.49,146.00,191.00
814,69.57,604,1668,174.36,140.00,189.00
834,71.81,603,1712,171.77,141.00,187.00
854,73.78,608,1736,169.48,136.00,186.00
874,75.89,612,1788,167.04,131.00,183.00
895,77.99,614,1824,164.60,129.00,182.00
914,79.96,623,1864,162.31,119.00,180.00
934,82.07,638,1924,159.88,102.00,177.00
954,84.04,634,1972,157.59,107.00,175.00
974,86.15,645,2040,155.15,95.00,172.00
995,88.25,631,2088,152.71,110.00,170.00
1015,90.35,641,2128,150.27,99.00,168.00
1034,92.33,628,2188,147.98,114.00,165.00
1055,94.43,630,2212,145.55,111.00,164.00
1075,96.40,639,2288,143.26,101.00,160.00
1095,98.64,636,2344,140.67,105.00,158.00
1115,100.48,637,2388,138.53,104.00,156.00
1135,102.85,640,2428,135.79,100.00,154.00
1155,104.69,639,2456,133.65,101.00,153.00
1175,106.93,651,2504,131.06,88.00,151.00
1196,109.03,641,2528,128.62,99.00,149.00
1215,111.00,643,2580,126.34,97.00,147.00
1236,113.24,650,2624,123.75,89.00,145.00
1255,115.21,644,2648,121.46,96.00,144.00
1275,117.45,646,2728,118.87,94.00,140.00
1295,119.55,647,2796,116.43,93.00,137.00
1315,121.52,653,2892,114.14,86.00,133.00
1335,123.63,654,2992,111.70,85.00,128.00
1355,125.73,656,3060,109.26,83.00,125.00
1376,127.84,658,3056,106.82,80.00,125.00
1395,129.94,656,2868,104.39,83.00,134.00
1415,132.05,664,3168,101.95,74.00,120.00
1436,134.15,675,3288,99.51,61.00,115.00
1456,136.26,663,3340,97.07,75.00,113.00
1476,138.36,685,3348,94.63,50.00,112.00
1496,140.46,665,3424,92.19,73.00,109.00
1516,142.44,679,3540,89.90,57.00,103.00
1537,144.54,679,3668,87.46,57.00,98.00
1556,146.65,669,3792,85.03,68.00,92.00
1576,148.75,673,3808,82.59,64.00,91.00
1596,150.59,685,3964,80.45,50.00,84.00
1617,152.56,685,4112,78.17,50.00,77.00
1637,154.67,675,4208,75.73,61.00,73.00
1657,156.64,675,4292,73.44,61.00,69.00
1677,158.61,679,4408,71.15,57.00,64.00
1697,160.85,677,4476,68.56,59.00,61.00
1717,162.69,698,4680,66.43,36.00,51.00
1737,164.93,681,4840,63.84,55.00,44.00
1757,166.77,704,4940,61.70,29.00,40.00
1777,168.87,696,5036,59.26,38.00,35.00
1798,170.98,694,5228,56.82,40.00,27.00
1818,173.08,701,5560,54.38,33.00,11.00
1839,175.18,702,5524,51.95,32.00,13.00
1858,177.16,685,5624,49.66,50.00,9.00
1879,179.26,698,5648,47.22,36.00,7.00
1898,181.23,693,5756,44.93,42.00,3.00
1919,183.34,703,5824,42.49,30.00,0.00
1938,185.31,692,5792,40.21,43.00,1.00
1958,187.42,688,5832,37.77,47.00,0.00
1978,189.39,689,5700,35.48,46.00,5.00
1998,191.49,689,5792,33.04,46.00,1.00
2018,193.60,687,5752,30.60,48.00,3.00
2038,195.70,690,5656,28.16,45.00,7.00
2058,197.67,706,5784,25.88,27.00,1.00
2078,199.52,703,5688,23.74,30.00,6.00
2098,201.49,687,5844,21.46,48.00,0.00
2119,203.59,689,6236,19.02,46.00,0.00
2138,205.70,689,6028,16.58,46.00,0.00
2158,207.80,691,5700,14.14,44.00,5.00
2179,209.91,693,5780,11.70,42.00,1.00
2198,211.88,704,6088,9.41,29.00,0.00
2219,214.11,686,5876,6.82,49.00,0.00
2238,216.09,691,5432,4.54,44.00,17.00
2258,218.19,696,5420,2.10,38.00,18.00
2277,220.16,698,5144,0.00,36.00,30.00
2297,222.27,683,5032,0.00,53.00,35.00
2317,224.24,709,5344,0.00,24.00,21.00
2338,226.48,691,5636,0.00,44.00,8.00
2358,228.45,698,5708,0.00,36.00,5.00
2378,230.55,685,5656,0.00,50.00,7.00
2398,232.53,687,5632,0.00,48.00,8.00
2418,234.50,689,5748,0.00,46.00,3.00
2438,236.60,688,5764,0.00,47.00,2.00
2458,238.58,701,6000,0.00,33.00,0.00
