Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,591,972,255.00,155.00,220.00
92,0.53,526,972,254.39,227.00,220.00
112,1.32,526,980,253.48,227.00,220.00
132,2.37,525,972,252.26,228.00,220.00
152,3.68,523,972,250.73,230.00,220.00
172,5.26,523,968,248.90,230.00,221.00
192,7.10,523,960,246.77,230.00,221.00
213,8.94,531,960,244.63,221.00,221.00
233,10.92,524,960,242.35,229.00,221.00
253,12.89,533,960,240.06,219.00,221.00
273,14.86,524,972,237.77,229.00,220.00
293,16.83,524,968,235.49,229.00,221.00
313,18.68,527,968,233.35,226.00,221.00
333,20.78,532,964,230.91,220.00,221.00
354,22.75,531,972,228.63,221.00,220.00
373,24.99,536,988,226.04,216.00,220.00
393,27.09,542,1016,223.60,209.00,218.00
413,29.20,533,1056,221.16,219.00,217.00
433,31.04,539,1056,219.02,212.00,217.00
453,33.14,543,1080,216.58,208.00,215.00
473,35.25,551,1092,214.14,199.00,215.00
494,37.35,548,1132,211.71,202.00,213.00
514,39.46,560,1132,209.27,189.00,213.00
534,41.43,563,1160,206.98,186.00,212.00
555,43.53,560,1164,204.54,189.00,212.00
574,45.51,561,1172,202.25,188.00,211.00
593,47.48,568,1204,199.97,180.00,210.00
614,49.71,579,1232,197.38,168.00,209.00
634,51.82,582,1284,194.94,165.00,206.00
654,53.92,575,1324,192.50,172.00,204.00
674,56.03,580,1356,190.06,167.00,203.00
694,58.13,584,1392,187.62,162.00,201.00
714,60.24,592,1448,185.18,153.00,199.00
734,62.21,588,1484,182.89,158.00,197.00
754,64.31,592,1520,180.46,153.00,195.00
774,66.42,608,1580,178.02,136.00,193.00
794,68.52,599,1620,175.58,146.00,191.00
814,70.49,623,1680,173.29,119.00,188.00
834,72.60,606,1724,170.85,138.00,186.00
854,74.57,614,1760,168.56,129.00,184.00
874,76.68,610,1804,166.13,134.00,182.00
895,78.78,615,1848,163.69,128.00,180.00
915,80.75,619,1896,161.40,124.00,178.00
934,82.86,622,1940,158.96,120.00,176.00
955,84.83,642,2020,156.67,98.00,173.00
975,86.80,624,2076,154.39,118.00,170.00
994,88.64,643,2124,152.25,97.00,168.00
1014,90.75,643,2160,149.81,97.00,166.00
1035,92.85,633,2192,147.37,108.00,165.00
1055,94.96,647,2284,144.94,93.00,161.00
1074,97.06,637,2308,142.50,104.00,160.00
1095,99.17,641,2368,140.06,99.00,157.00
1115,101.27,639,2396,137.62,101.00,156.00
1135,103.38,644,2472,135.18,96.00,152.00
1155,105.48,650,2496,132.74,89.00,151.00
1175,107.58,652,2520,130.30,87.00,150.00
1196,109.69,645,2604,127.86,95.00,146.00
1215,111.66,659,2628,125.57,79.00,145.00
1236,113.77,646,2656,123.14,94.00,144.00
1255,115.87,647,2704,120.70,93.00,141.00
1275,117.97,668,2772,118.26,69.00,138.00
1295,119.95,651,2880,115.97,88.00,133.00
1315,122.18,657,2972,113.38,81.00,129.00
1336,124.16,671,3116,111.09,66.00,123.00
1356,126.13,683,3100,108.81,53.00,123.00
1375,128.23,657,2992,106.37,81.00,128.00
1395,130.34,660,3084,103.93,78.00,124.00
1416,132.31,665,3304,101.64,73.00,114.00
1435,134.41,667,3356,99.20,70.00,112.00
