Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
1196,108.24,646,2536,129.54,94.00,149.00
1215,110.08,660,2628,127.40,78.00,145.00
1236,112.19,649,2640,124.97,90.00,144.00
1255,114.16,661,2656,122.68,77.00,144.00
1275,116.26,649,2732,120.24,90.00,140.00
1295,118.37,649,2824,117.80,90.00,136.00
1315,120.47,652,2976,115.36,87.00,129.00
1335,122.45,672,3036,113.07,65.00,126.00
1355,124.55,662,3120,110.64,76.00,123.00
1376,126.65,672,3128,108.20,65.00,122.00
1395,128.63,654,2960,105.91,85.00,130.00
1415,130.60,661,3188,103.62,77.00,119.00
1436,132.70,673,3328,101.18,64.00,113.00
1455,134.55,666,3380,99.05,71.00,111.00
1476,136.78,664,3408,96.46,74.00,109.00
1496,138.62,665,3432,94.32,73.00,108.00
1516,140.86,665,3588,91.73,73.00,101.00
1537,142.96,667,3768,89.29,70.00,93.00
1556,144.94,668,3800,87.01,69.00,92.00
1576,146.91,675,3880,84.72,61.00,88.00
1596,148.88,684,4056,82.43,51.00,80.00
1616,150.99,685,4120,79.99,50.00,77.00
1637,153.09,675,4232,77.56,61.00,72.00
1656,155.19,678,4324,75.12,58.00,68.00
1677,157.30,684,4348,72.68,51.00,67.00
1697,159.40,689,4452,70.24,46.00,62.00
1717,161.51,689,4620,67.80,46.00,54.00
1737,163.61,689,4928,65.36,46.00,40.00
1757,165.58,685,4872,63.07,50.00,43.00
1777,167.69,686,4960,60.63,49.00,39.00
1798,169.79,687,5144,58.20,48.00,30.00
1817,171.76,688,5308,55.91,47.00,23.00
1838,173.87,687,5412,53.47,48.00,18.00
1858,175.84,686,5432,51.18,49.00,17.00
1879,177.95,689,5464,48.74,46.00,16.00
1898,179.92,699,5708,46.46,35.00,5.00
1919,182.02,686,5640,44.02,49.00,8.00
1938,184.00,686,5676,41.73,49.00,6.00
1958,186.10,704,5700,39.29,29.00,5.00
1978,187.94,689,5672,37.16,46.00,6.00
1998,190.05,710,5748,34.72,23.00,3.00
2018,191.89,688,5748,32.59,47.00,3.00
2038,193.99,687,5740,30.15,48.00,3.00
2058,195.96,698,5840,27.86,36.00,0.00
2078,198.07,697,5784,25.42,37.00,1.00
2098,200.04,698,5692,23.13,36.00,5.00
2119,202.01,689,6084,20.85,46.00,0.00
2138,203.99,692,5996,18.56,43.00,0.00
2158,206.09,689,5740,16.12,46.00,3.00
2179,208.20,692,5748,13.68,43.00,3.00
2198,210.17,691,5992,11.40,44.00,0.00
2219,212.14,692,6104,9.11,43.00,0.00
2238,214.25,687,5816,6.67,48.00,0.00
2258,216.35,693,5544,4.23,42.00,12.00
2277,218.19,687,5252,2.10,48.00,25.00
2297,220.30,685,5132,0.00,50.00,31.00
2317,222.27,697,5276,0.00,37.00,24.00
2338,224.37,700,5752,0.00,34.00,3.00
2358,226.48,693,5672,0.00,42.00,6.00
2378,228.58,691,5588,0.00,44.00,10.00
2398,230.55,691,5748,0.00,44.00,3.00
2418,232.66,695,5720,0.00,39.00,4.00
2438,234.63,693,5744,0.00,42.00,3.00
2458,236.60,705,5936,0.00,28.00,0.00
