Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,597,988,255.00,148.00,220.00
92,0.13,524,988,254.85,229.00,220.00
113,0.92,528,988,253.93,224.00,220.00
133,1.84,527,1004,252.87,226.00,219.00
152,3.16,525,972,251.34,228.00,220.00
172,4.47,527,988,249.82,226.00,220.00
192,6.18,532,976,247.84,220.00,220.00
214,7.89,524,996,245.85,229.00,219.00
234,9.86,525,972,243.57,228.00,220.00
255,11.70,536,988,241.43,216.00,220.00
273,13.41,528,976,239.45,224.00,220.00
294,15.39,527,968,237.16,226.00,221.00
313,17.49,525,968,234.73,228.00,221.00
333,19.46,522,972,232.44,231.00,220.00
353,21.31,535,980,230.30,217.00,220.00
373,23.41,534,988,227.87,218.00,220.00
394,25.51,537,1004,225.43,214.00,219.00
414,27.75,532,1028,222.83,220.00,218.00
434,29.85,542,1052,220.40,209.00,217.00
454,31.83,543,1080,218.11,208.00,215.00
474,33.67,548,1092,215.97,202.00,215.00
494,35.77,550,1116,213.54,200.00,214.00
513,37.61,561,1132,211.40,188.00,213.00
534,39.72,553,1144,208.96,197.00,213.00
555,41.82,561,1168,206.52,188.00,211.00
574,43.93,560,1164,204.08,189.00,212.00
594,46.16,565,1200,201.49,183.00,210.00
614,48.14,575,1236,199.21,172.00,208.00
634,50.24,568,1276,196.77,180.00,207.00
654,52.34,575,1312,194.33,172.00,205.00
674,54.32,581,1360,192.04,166.00,203.00
694,56.42,593,1392,189.60,152.00,201.00
714,58.53,582,1436,187.16,165.00,199.00
734,60.50,590,1484,184.88,156.00,197.00
754,62.73,605,1512,182.28,139.00,196.00
774,64.71,595,1544,180.00,150.00,194.00
794,66.94,601,1592,177.41,144.00,192.00
814,69.05,601,1648,174.97,144.00,190.00
834,71.28,611,1696,172.38,132.00,187.00
854,73.26,609,1720,170.09,135.00,186.00
874,75.36,610,1768,167.65,134.00,184.00
895,77.47,612,1844,165.21,131.00,181.00
914,79.44,616,1848,162.92,127.00,180.00
934,81.67,624,1880,160.33,118.00,179.00
954,83.78,624,1968,157.89,118.00,175.00
974,85.88,635,1980,155.45,106.00,174.00
994,87.86,625,2068,153.17,117.00,170.00
1014,89.96,643,2120,150.73,97.00,168.00
1035,92.06,629,2160,148.29,112.00,166.00
1054,94.04,632,2220,146.00,109.00,164.00
1075,96.14,641,2292,143.56,99.00,160.00
1095,98.25,638,2352,141.12,102.00,158.00
1115,100.09,638,2388,138.99,102.00,156.00
1135,102.06,650,2432,136.70,89.00,154.00
1155,104.03,651,2460,134.42,88.00,153.00
1175,106.14,644,2512,131.98,96.00,150.00
